Review,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
['- Ngon tuyệt_vời luôn !'],0,0,0,0,0,1,0,0,0,0,0,0
"['- Ở quán Cơm chay Thuyền_Viên .', '- Chỉ một từ thôi : NGON \uf498\uf44d - Vẫn rất giòn dù lúc tớ là 8h30 tối , ăn rất ngon , mùi lại thơm nữa .', 'Nêm vừa ăn , ăn chung tương_ớt rất ngon ( không có tương xí muội ) - Giá ok : 3 k / cuốn .']",0,0,0,0,1,1,0,0,0,0,0,0
"['- Ở Quảng , tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó , vậy nên thấy cái "" mì Quảng_Bà_Dzũ "" đã cảm được chất của Đà_Nẵng ngay từ cái nhìn đầu_tiên rồi .', '- Ngoài mì Quảng , quán còn rất nhiều món Quảng rất ngon như bún cá cam , bún_bò Đà_Nẵng ( chỉ xài thịt bò , không có giò ) , bún mắm_nêm , chè đậu_ngự .', 'Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng .', '- Đặt cái tên dễ làm người ta nao lòng , tô bé đẹp , tô bé cưng , cà_phê tình mê , bún mắm tình đắm , ... nhìn mà phì_cười .', '- Quán rất thoáng mát , nếu đang vội , đừng tới đây ăn , mà hãy chờ lúc_nào thong_thả .', '- Quán gì đó - Muốn quên cũng khó .']",1,0,0,0,0,1,1,0,1,0,0,0
"['- Quán tên là Cơm chay Thuyền_Viên .', '- Ăn rất ổn , mùi thơm , rau cải giòn , mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn .', 'Bị cái_nước tương hơi dở .', 'Nếu bạn nào chịu ăn lạt thì không cần thêm nước_tương đâu \uf44d - Giá cũng được : 18 k / đĩa - Ở đây còn bán rất nhiều món chay khác như cơm , phở , hủ_tiếu , bún thái , các món ăn vặt chay , phụ_liệu nấu đồ chay , ... ăn rất ổn .']",0,0,0,0,1,3,1,0,0,0,0,0
"['- Quán trong hẻm nhưng ngay đường Nguyễn_Cư_Trinh nên cực_kì dễ tìm - Đồ_ăn đa_dạng , ngon nhất vẫn là nem nướng - Giá_cả hợp_lý - Nhân_viên phục_vụ nhiệt_tình - Nhất_định sẽ quay lại nè']",0,0,0,0,1,1,1,1,1,0,0,1
"['- Wagyu beef 360 k / g x 750g at minimum for order nhen .', 'Mình ăn medrare - Sauce_Chi ... đầu_tiên trong menu : 70k sauce ớt chuông rau , ... với oliu oil - Sauce_Blue cheese béo ngon hình_như 100k , hơi nhẫn đắng - Cheese mặn đút lò ngon .', 'Tên món quên òi .', '\uf61c\uf61c hong nhớ giá luôn .', 'Ngon thơm .', '- Salad_A ... ko nhớ tên .', 'Size nhỏ 100k .', 'Rau cải ngựa và hành khoanh , cheese , sốt hành .', 'Nồng khó ăn .']",0,0,0,0,3,3,0,0,0,0,0,0
"['- Đi vô đường Chấn_Hưng xiú là quán bún thịt nướng Hải_Đăng nổi_tiếng hơn hẳn .', '( có nhiều quán lắm nha ) - Quán thuộc dạng bình_dân , sân_nhà rộng , giữ xe miễn_phí .', '-1 phần đầy_đủ là 25 k , ( chả_giò , thịt nướng , nem ) ; có 1 xô nước_mắm inox trên mỗi bàn lun , muốn ăn bao_nhiêu thì múc : ) ) ( có_thể gọi thêm dĩa bún thêm dành cho ạ ra_sức ăn mặn ) - Ăn được , phục_vụ nhanh gọn , có_điều không nóng_hổi , do làm sẵn chuẩn_bị trước.Hotgirl tính tiền hehe']",1,0,0,0,1,1,3,3,1,1,0,1
"['- Quán ngay khu trung_tâm , khá đông , nhất vào giờ ăn trưa , phải book chỗ trước .', '- Phần như hình là 1/2 bánh_tráng phơi sương thịt giò : 102 k ( 1 phần thì là 173 k ) - Dọn kèm bánh_tráng phơi sương dẻo , rau rừng tươi xanh , dĩa đồ chua , nước_mắm , mắm nêm.ngoài ra quán còn cọ món tủ là bánh_canh ( 55 k ) , cháo sò lông ( cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết ) .', 'Còn có chè khúc bạch không_thể không nhắc ở HT .', '- Trà đá 4 k / ly-Khăn lạnh 2kQuán nhiều khách , nhưng nhân ciên vô_cùng niềm_nở , dễ_thương nha ^ ^ Không thích là tính tiền giữ xe 3k thoai : (']",0,0,0,1,3,0,1,1,0,2,0,1
"['- Trong hình là gà bó xôi truyền_thống : 280 k-Xôi thơm dẻo , bên ngoài giòn_rụm .', '- Gà dai dai ướp thấm gia_vị .', '- Order trước 2 tiếng là giao tới nhà liền , nóng_hổi trong hộp .', '- Bao_bì , hộp đựng sạch_sẽ , chắc_chắn ; được thêm bao_tay nilong để xé gà nữa .', '\uf60d - Nhân_viên chuyên_nghiệp , dễ_thương .', '- Order trên flyfood.vn để tham_khảo thêm menu .', '- Nhà mình đặt 2 con gà , 1 súp , 1 bò hầm tiêu , 1 gỏi củ hủ dừa hơn 1 triệu xíu mà 12 người ăn còn dư luôn nha .', '- Bò hầm tiêu xanh ngon lắm lắm , gỏi củ hủ dừa hơi ngọt xíu theo khẩu_vị miền Nam ; súp đậm_đà có thịt , nấm , trứng cút nhiều lắm .', '- Lần sau là thử thêm nhiều món khác nữa nè hie hie\uf619\uf61b珞']",0,0,0,0,1,1,1,0,1,0,0,1
"['- Vị_trí : Quán nằm ngay mặt_tiền đường Sư_Vạn_Hạnh khá dễ tìm .', '- Đồ_ăn : bánh_bèo , bánh bột lọc , bánh_nậm , bánh_ít ram , nem huế , chả huế các loại .', 'Bánh thơm , ngon , có_điều nước_mắm hơi ngọt .', '- Giá_cả : 30 k / mâm bánh_bèo chén .', 'Dĩa thì 24k như hình chưa có nem , chả .', '- Không_gian : quán bình_dân , hơi chật , trời này mà ngồi hơi bị nóng , quán đông , hay bị thiếu bàn .', 'Ko có ai coi xe .']",2,0,0,0,3,3,1,1,0,2,0,0
"['.', 'Bên ngoài giòn giòn ăn cực thích .', 'Bên trong cơm nhật với dưa_leo , trứng , thanh cua mềm rất tuyệt']",0,0,0,0,0,1,0,0,0,0,0,0
"['.', 'Cấp_độ 3 đã đủ sức chịu_đựng của mình .', 'Ăn vừa nóng vừa cay cay mà toát hết mồ_hôi hột\uf622\uf622 vừa khẩu_vị của mỗi người .', 'Không_gian có phần hơi chật nhưng thoáng và trang_trí đẹp theo phong_cách Hường_Cuốc']",3,0,0,0,0,1,0,0,0,0,0,0
"['.', 'Gà rán giòn ướp vị chua_cay rất ngon , bánh ăn kèm giòn và thơm mùi bơ']",0,0,0,0,0,1,1,0,0,0,0,0
"['.', 'Lần đầu ăn_ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom_Quang_Trung nên còn nhiều món chưa có nhưng ăn_ở đây sẽ no căng luôn']",0,0,0,0,0,1,1,0,0,0,0,0
"['.', 'Lần đầu ăn_ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom_Quang_Trung nên còn nhiều món chưa có nhưng ăn_ở đây sẽ no căng luôn ❤️ Tặng kèm cả cơm và canh nếu phần đó chỉ có đồ_ăn .']",0,0,0,0,1,1,1,0,0,0,0,0
"['.', 'Mì_Cay_Hàn_Quốc êiii ❤️ .', 'Mì dai nah ❤️ .', 'Nhiều hải_sản nah ❤️ ( tôm , mực , ... ) .', 'Nước dùng bao cay nah ❤️❤️ .', 'Đáng đồng_tiền lúmm nha ❤️❤️ .', 'Phục_vụ nhiệt_tình \uf338 .', 'Giá_cả hợp_lí neh']",0,0,0,0,1,1,1,0,0,0,0,1
"['.', 'Mì hến Bắc_Hà .', 'Nước hến ngon một_số chỗ có dùng bột_ngọt cho nào nước mì làm mất đi vị ngọt tự_nhiên của hến , ko quá cay như bên mì hến Ngô_Văn_Sở .', 'Quán mát , rộng_rãi \uf60a']",1,0,0,0,0,1,0,0,0,0,0,0
"['.', 'Xem qua chương_trình ẩm_thực của nghệ_sĩ Việt_Hương mình biết được quán này .', 'Mình đi buổi tối quán động cực_kì chỗ ngồi san_sát nhau , vì số_lượng khách động nên việc ngồi chờ món lâu hơn .', '\uf624 .', 'Vỏ bánh_tráng mềm dai , bánh nóng nên ăn_liền sẽ ngon hơn \uf60b']",0,0,0,0,0,1,0,0,1,0,0,2
"['( + ) Phở cuốn khá chắc , nhân nhiều , nước_chấm ngon , 1 người ăn phần là vừa , ko no mấy .', '( - ) Bánh_phở hơi cứng , ko dai.Trong 2 loại mình thích pc nem hơn , nem nướng đậm vị , dùng với thêm nước_chấm là tuyệt !', 'PC Nem-45 k / pPC Tôm thịt-38 k / p']",0,0,0,0,3,3,1,0,0,0,0,0
"['[ Bánh_cuốn Tây_Hồ - Chất_lượng tuyệt_vời ] Địa_chỉ : 127 Đinh_Tiên_Hoàng , Đa_Kao , Q 1 .', 'Quán này nằm trên đường Đinh_Tiên_Hoàng cũng đã rất lâu & nổi_tiếng , nên chắc bạn nào mê bánh_cuốn cũng đã từng dùng bánh_cuốn tại đây * * * Về không_gian : Không_gian quán hơi nhỏ , nhiều khi vào giờ cao_điểm , khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi : ( Và không có máy_lạnh , chỉ có quạt_máy nên cũng hơi nóng 1 chút * * * Về thức_ăn : 1 phần bánh_cuốn tuy không nhiều , nhưng vừa đủ no & cực_kì chất_lượng , chất_lượng từ hình_thức đến mùi_vị - Hình_thức trang_trí bắt_mắt - Mùi_vị đậm_đà với chả_quế & chả_lụa * * * Về cung_cách phục vụCó thể nói ở đây nhân_viên phục_vụ cũng khá chiều khách , tận_tình * * * Về giá_cả : Có_vẻ hơi đắt , nhưng_mà tiền_nào_của_nấy , bánh_cuốn ở đây đã nổi_tiếng từ lâu_đời , nên chuyện giá đắt như_vậy cũng chấp_nhận được : ) ) Nói_chung là nên dùng thử bánh_cuốn tại đây , các bạn sẽ ghiền đấy !']",2,0,0,0,3,1,1,3,1,0,0,1
"['[ BÁNH_ĐA TRỘN - B6 TT NGHĨA TÂN_] Điểm khác với mọi chỗ mình ăn là bât bưng ra nóng_hổi , kiểu ăn luôn và ngay mới ngon .', 'Vắt tầm 3 quả quất mới đáp_ứng độ chua của mình .', 'Bánh_đa mềm mà vẫn dai , giò tai cắt miếng to ăn giòn giòn , miếng chả cá hơi còi_cọc .', 'Ở đây hơi giống Phùng_Hưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì_dầu nhé 30 k / bát đầy_đặn , nước dùng khá thơm dậy_mùi cua . 3k trà_đá , 10 nghìn 3 cốc = ) )']",0,3,0,0,1,1,3,0,0,0,0,0
"['@meete.co đang khuyến_mãi combo mì udon hải_sản vs bánh mochi chỉ 49k .', 'Mì udon ở đây hơi ít được khoảng nước dùng nấu sệt sệt , đậm mùi hải_sản , có vị cay khá ít nên phù_hợp vs những ng k thích ăn cay nhiều như mình .', 'Tô mì khá chất_lượng có hẳn 1 con ghẹ to luôn o.O cơ_mà con ghẹ mình ăn hơi ít thịt .', 'Tô mì vừa dc nấu , ăn nóng_hổi .', 'Quán đi tối hơi bị đông đấy . đi trưa như mình vắng cho khoẻ .', 'Bánh mochi ăn oke .', 'Quán có bán sushi giá cũng khá oke cho sinh_viên nữa']",0,0,0,0,1,1,3,0,0,0,0,0
"['@ meetesaigon đang có khuyến_mãi mua 1 gà trái_tim 60k được tặng 1 món đồng giá hoặc thấp hơn \uf61a\uf61aGà ở đây cũng làm theo style gà Đài_Loan giống của oppa chicken nhưng so_sánh thì vị bên đây đậm_đà ăn thích hơn .', 'Gà nóng_hổi nên lớp da cắn vào giòn_rụm .', 'Gà trái_tim chủ_yếu là từ phần thịt ức gà thường ăn sẽ khô , bở nhưng ở đây thịt vẫn rất mềm và dai .', 'Gà viên 45k gia_vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình k thích lắm : ( .', 'Bánh_khoai tây 28k vì được ướp hẳn gia_vị vào trong nên rất ngon tiếc là khoai_tây hơi bị bở : ( ( .', 'Trà bí_đao uống ngọt thanh rất thích_hợp để giải_nhiệt sau khi ăn đống đồ chiên này \uf644Điểm trừ của quán là k có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán : ( ( ( .', 'Giá_cả rất sinh_viên 15 - 60k cho 1 quán ở Q. 1 như thế_này .']",0,0,1,0,1,1,3,1,0,0,1,0
"['* Cập_Nhật Giá : 1/12/2015 \uf438 - Phần 1 con + cháo = > 35.000₫ - Phần 2 con + cháo = > 70.000₫ - Phần 3 con + cháo = > 90.000₫ * Có "" Nước Sâm ( 5k ) , Nước_ngọt ( tuỳ loại ) , Trà_Đá ( 2k ) \uf380 Quán lề_đường , sạch_sẽ , nấu ếch tại_chỗ cho khách xem .', 'Nhưng phụ vụ hơi lâu , gọi tính tiền cũng lâu nữa \uf61e \uf380 Ăn được .', 'Ngon !']",3,3,0,1,3,1,1,0,0,0,0,2
"['* Quán nằm ngay mặt_tiền đường Kì_Đồng quận 3 , cực_kì dễ kiếm * Quán có không_gian rộng_rãi với 2 lầu và 1 trệt * Món đặc_trưng ở đây là bún_bò , siêu ngon và đúng chuẩn bún_bò Huế']",1,0,0,0,0,1,1,1,0,0,0,0
"['# 3 sacthai khác nhau , cơ_mà nhìn kiểu nào cũng ngon không_tưởng .']",0,0,0,0,0,1,1,0,0,0,0,0
"['# chungban phở thìn quá nổi_tiếng rồi .', 'Từ sáng sớm đến tối muộn lúc_nào cũng nườm_nượp khách .', 'Chỉ có tái lăn .', 'Vị thịt bò xào và nước dùng đặc_biệt , không lẫn đi đâu được .', 'Siêu nhiều thịt bò .', 'Vừa no vừa ngon .']",0,0,0,0,0,1,1,0,1,0,0,0
"['# dimsum cho bữa sáng .', 'Tân_Sanh_Hoạt ở NTMK .', 'Quán bình_dân nhưng giá nhà_hàng : ) ) Phần này 2ng mà giá 250-300 k .', 'Lúc tính tiền có tí choáng : ) ) Không dở nhưng cũng k xuất_sắc , k xứng với số tiền bỏ ra .']",3,0,0,0,2,3,0,3,0,0,2,0
"['# firstmealoftheyear # vinciboTô này là tô lớn 25k ăn vậy với rau thôi không có bánh_tráng như quán nào đó mình từng ăn .', 'Thật_ra thấy vậy cũng vừa_rồi : 3 quán do cô này ở Quảng_Ngãi vô bán , mọi người hiền lắm : ) ) có ăn thêm Don 15k nữa mà quên chụp : ) ) à bàn có cả Greencross để rửa tay nữa']",1,0,0,0,3,0,3,0,0,0,0,1
"['# lozi # lozisaigon # anchinh # buffet đây là nước lẩu Shabu và miso nha !', '!', 'Ở đây nhân_viên cho điểm 10 +']",0,0,0,0,0,0,1,0,0,0,0,1
"['# lozi # lozisaigon # anchinh chả ngon !', '!']",0,0,0,0,0,2,0,0,0,0,0,0
"['# lozi # lozisaigon # chaovit # anchinh ngon - bổ - rẻ .', 'Khuyết là_hơi xa trung_tâm']",0,0,0,0,1,1,0,2,0,0,0,0
"['# Lozi # Muondongbang_Nhonnn , mà rẻ nữa ❤️ Nhiều thịt ( vì mình k thic ăn cá ) , có cả rau_sống và bún .', ""Nc ' chấm thì có gừng và lá chanh ớt ❤️""]",0,0,0,0,1,1,1,0,0,0,0,0
['# lozi # ăn quên cả lối về < # 3'],0,0,0,0,0,1,0,0,0,0,0,0
['# lozi # nhonha # đang cảm ăn vào đỡ nhiều # đủ 5 món luôn toẹt vời'],0,0,0,0,0,1,1,0,0,0,0,0
"['# lozisaigon # oursaigon # lau # ngon .', 'Tết_nhất nên chỗ nào cũng đông , chỗ này đông_nghẹt người .', 'Về lẩu thì nước dùng ngon , hải_sản ăn kèm khá ít cho giá 250k .']",0,0,0,0,2,1,2,0,0,0,0,0
"['# lozisg # oursaigion # chungban - Vừa ngon vừa rẻ , 2 đứa ăn xong mà muốn lăn về nhà luôn cho nó lẹ chứ đi hổng có nổi luôn : ) ) ) ) Quán chuyên về các món đặc_trưng của đất_nước xứ kim chi và cơm trộn Hàn_Quốc thân_yêu , vì là các dành cho lứa học_sinh sinh_viên của bọn mình nên giá_cả khá là mềm .', 'Ngoài các "" vị thượng_đế "" học_sinh sinh_viên ra thì quán cũng thuộc list những quán phải tới của giới văn_phòng .', 'Không_gian thì trẻ_trung thoáng mát , phù_hợp cho hội nhóm gặp_mặt bạn_bè , còn thực_đơn lại phong_phú giá_cả vừa_phải mà_lại còn ngon ngon nữa : X']",1,0,0,0,1,1,1,0,1,0,0,0
"['# lozisg # oursaigon - Lần đầu_tiên mình ăn móng này luôn , cảm_giác lạ lắm .', 'Khi chú chủ quán mang nồi lẩu ra thì mình hơi bất_ngờ vì nồi lẩu chỉ toàn là .. lá quế , ớt và thịt gà : O Thịt gà trong lẩu là thịt gà đá nên khá là dai , mình phải nhai nhai mãi mới đứt í : ( Nhưng được_cái bù lại là nước_lèo khá là ngon , chua_chua cay cay như kiểu lẩu Thái í .', 'Trông nồi lẩu ớt ớt thế thôi chứ ăn cũng không cay lắm đâu mà nước còn hơi ngọt ngọt nữa .', 'Cái lạ nữa là lẩu chỉ cần ăn với .. lá quế thôi chứ chả cần thêm rau_cỏ gì khác nữa .', 'Nói_chung là mình chấm món này 8.5/10 điểm đó : 3 Đi nhiều nhiều mò nhiều quán kiếm được nhiều món lạ gê ^ ^']",0,0,0,0,0,3,3,0,0,0,0,0
"['# lozisg # oursaigon - Lần đầu_tiên mình ăn_ở đây là được 1 người bạn mình quan_tâm dẫn tới ăn , ta nói nó vừa ngon mà_lại vừa siêu no luôn : P Miếng thịt bò siêu bự nè , nui xào hơi được giòn một_tí nên ăn thích lắm , tặng thêm điểm cộng cho món này vì rau khá là nhiều và mình thì rất thích ăn rau nhiều 1 tí : 3 Tuy giá có hơi cao hơn so với các quán khác nhưng được rất nhiều bò và ăn siêu thích luôn ( y )']",0,0,0,0,3,1,1,0,0,0,0,0
"['# lozisg # oursaigon - Sườn heo non , thịt khá dai nhưng bù lại được tẩm ướp các gia_vị khá là kĩ_lưỡng .', 'Khi ăn thì thấy có vị cay cay the the của gia_vị sả nhưng khi ướp thì lại không có sả , khó hiểu gê : ( Nói_chung là hôm nào trời mưa mà đi nhậu , ăn món này ngon quá_trời luôn : P ^ ^']",0,0,0,0,0,1,0,0,0,0,0,0
"['# lozsg # oursaigon - Trời mưa lạnh như hôm_nay thì phải ăn đồ nướng cay cay nó mới đã .', 'Cho_nên tớ xin giới_thiệu với các cậu món cánh_gà nướng sốt siêu cay blazing , đảm_bảo siêu cay , cay chảy nước_mắt luôn : 3 1 phần 6 cái cánh_gà được tẩm ướp mặn mặn , ăn kèm với sốt ớt cay được làm từ sate và ớt tươi , đảm_bảo là cay xé họng thực_khách luôn : P Nhưng_mà nói cay vậy chứ món này ăn ngon miễn chê luôn nha , thịt cánh_gà mềm mềm hơi mỡ 1 tẹo , tuy là cánh_gà nướng nhưng thịt gà vẫn còn mềm chứ không có bị khô đâu nha , ướp và sốt chung với ớt và sate .', 'Cái lạ là khi ăn miếng đầu_tiên thì bạn sẽ cảm_thấy nó chỉ hơi cay cay the the thôi , nhưng càng ăn thì độ cay nó sẽ tăng dần lên , kích_thích lắm nhaaa : 3 Ngoài_ra sốt ăn kèm có 6 mức cay tăng dần :', 'BBQ , fish sauce , gabay , satay , buffalo và blazing , phù_hợp với khẩu_vị của từng thực_khách ^ ^']",0,0,0,0,0,1,1,0,0,0,0,0
"['# lozsisaigon # oursaigon bạch tuột nướng cũng siêu tươi luôn , đã .', ': D']",0,0,0,0,0,1,0,0,0,0,0,0
['# ocgach Ngon mê_ly : D'],0,0,0,0,0,1,0,0,0,0,0,0
"['# oursaigon - Cơm tấm sườn chả [ 37 k ] : cơm tấm đúng là cơm tấm chứ không phải trá_hình như nhiều chỗ khác , mỡ hành hơi ít , thịt sườn lớn , dày , chả mềm và có trứng muối khá ngon , không quá bở và mặn như những chỗ khác , nước_mắm cũng ok , phần đồ xào kèm theo không bị nấu qua_loa .', 'Nói_chung là không uổng 37k .', 'Tuy_nhiên có một_số góp_ý nhỏ , tại mình khó_tính thôi , cơm nên khô hơn , mỡ hành thơm và nhiều hơn , sườn nóng và ướp nồng hơn , chả ngon , nhưng nếu mặt chả mịn hơn thì sẽ hấp_dẫn hơn .', '- Trà tắc [ free ] : đặc_biệt thứ 2 đến thứ 6 , uống rất đã .', 'Còn t 7 - cn thì free trà đáBonus : free cơm thêm , nếu ăn bì thì bì làm từ thịt nạc chứ không mỡ nha !', 'Ngoài_ra còn có những món thịt , cá , đậu hủ khác , thấy nhiều người ăn và nhìn cũng khá nhiều và hấp_dẫn chứ không lèo_tèo hay bị quá_lửa như mấy chỗ cơm_hộp 25-30 k .', 'Quán có ngồi bên ngoài và trong nhà , lúc_nào cũng đông nhưng không_gian khá thoáng , phục_vụ nhanh ( nên mình có_thể châm_chước cho việc đồ_ăn không nóng như mong_đợi ) .']",1,1,1,1,1,1,3,0,0,0,0,1
"['# oursaigon - Quán này khá là thân_thuộc đối_với các bạn fans của các nhóm nhạc thần_tượng HQ như SuJu , BigBang , blah blah ..', 'Giá bình_thường nhưng đồ_ăn lại khá ngon , là một trong những quán mình đánh_giá cao_độ ngon của món tokbokki ^ ~ ^ Có_thể gọi thêm mì ramen hoặc không , nhưng của mình là có thêm mì remen hen , còn không có mì ramen thì là 28.000 / phần .', 'Ăn khá là no nè : P']",0,0,0,0,1,1,0,0,1,0,1,0
"['# oursaigon # hand mắc_cười nhất là cả đám đi ăn ốc , cơ_mà quán lạ ngu quá ko chịu hỏi giá , mới ăn lưng bụng thì kêu tính tiền vì sợ đắt , ai_ngờ có 20 k / dĩa thôi , siêu_đao lòng .', '\uf62a']",0,0,0,0,1,1,0,0,0,0,0,0
"['# oursaigon # hand Xiên nướng đồng giá chỉ 5k hoyyy mà đa_dạng lớm .', 'Ở đây có mề_gà nướng , chân gà nướng , bò cuộn phô ma , bạch tuột , răng mực , cá kèo , cá trứng ... v.v lại có cả lẩu .', 'Thích nhất là bạch tuột ở đây , ướp đều mà cay cay đậm_đà giòn tươi .', 'Với cả mề_gà cũng ướp đậm ăn thích lớm .', 'Giá_cả vừa túi_tiền mà đồ_ăn không quá ít thì ok quá dòy']",0,0,0,0,1,1,1,0,0,0,0,0
['# oursaigon ăn cơm với xiên nướng cũng thú_vị ghê .'],0,0,0,0,0,1,0,0,0,0,0,0
"['# oursaigon ăn_ở đây cả trăm lần nhưng bây_giờ mới review .', 'Thật mừng khi Ti_Ti mở gần nhà mình , đỡ tốn công đi xa .', 'Chắc vì lấy tên steak gấu nên ít ai biết , khách ko đông như những chỗ khác .', 'Khỏi chờ_đợi , chen_lấn xếp_hàng , khoẻ_re .']",0,0,0,0,0,0,0,1,1,2,0,0
